Algo, Seed, TP, TPMute, TPImp, PF, PFMute, PFImp, MacroMutingFreq, MicroMutingFreq, MacroMutingGain, MicroMutingGain
uni_logs/160_newdep/mu_diff_8_rollover/muting_7.log, 7, 431.14, 457.21, 6.05, 12.0, 5.69, -52.61, 34.48, 2.83, 162.93, 50.39
uni_logs/160_newdep/mu_diff_8_rollover/muting_8.log, 8, 522.38, 566.3, 8.41, 18.36, 19.29, 5.04, 37.57, 1.08, 134.89, 30.05
uni_logs/160_newdep/mu_diff_8_rollover/muting_9.log, 9, 470.91, 493.2, 4.73, 4.47, 9.18, 105.36, 29.32, 1.11, 185.25, 35.36
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_6.log, 6, 1083.68, 1045.78, -3.5, 66.71, 77.11, 15.59, 127.69, 43.91, 5355.41, 22580.67
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_7.log, 7, 978.78, 964.7, -1.44, 67.19, 70.11, 4.35, 127.57, 42.65, 56.46, 9728.19
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_8.log, 8, 1185.91, 1182.42, -0.29, 72.84, 75.63, 3.83, 134.22, 39.05, 6168.48, 27663.52
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_9.log, 9, 1069.06, 1060.59, -0.79, 59.31, 69.11, 16.52, 136.71, 37.72, 3584.17, 15638.09
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 1074.72, 1111.21, 3.4, 107.12, 113.87, 6.3, 70.32, 29.65, 32.48, 27.64
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 1013.47, 1061.48, 4.74, 99.8, 108.03, 8.25, 61.56, 32.02, 35.83, 27.0
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_2.log, 2, 1032.0, 1091.35, 5.75, 106.06, 114.97, 8.4, 58.76, 32.67, 32.44, 25.87
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_3.log, 3, 1076.69, 1143.61, 6.22, 103.86, 113.93, 9.69, 74.4, 29.86, 39.78, 29.82
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 1138.39, 1091.01, -4.16, 77.1, 84.92, 10.14, 125.99, 37.92, 4842.02, 39492.03
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 1068.89, 1049.83, -1.78, 59.07, 71.12, 20.39, 129.5, 41.46, 2407.65, 16365.83
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_2.log, 2, 1099.02, 1049.36, -4.52, 75.19, 76.79, 2.13, 122.45, 42.38, 4219.63, 24313.01
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_3.log, 3, 1121.97, 1123.15, 0.1, 63.57, 80.53, 26.68, 120.28, 38.36, 19046.86, 20259.62
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 1074.81, 1111.09, 3.38, 107.08, 113.85, 6.32, 70.22, 29.63, 32.41, 27.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 1013.63, 1061.37, 4.71, 99.78, 108.03, 8.26, 61.23, 32.06, 36.37, 27.17
